"","tile_name","mean_seasonality_1981_2010","mean_seasonality_1981_2010_degrees","mean_seasonality_1981_2010_2pd"
"56","HP5504",325.5,32.55,32.55
"57","HP5505",326,32.6,32.6
"58","HP5600",326.5,32.65,32.65
"59","HP5601",326,32.6,32.6
"60","HP5602",327,32.7,32.7
"61","HP5603",327,32.7,32.7
"62","HP5604",327,32.7,32.7
"63","HP5605",328,32.8,32.8
"64","HP5606",328,32.8,32.8
"65","HP5607",328.5,32.85,32.85
"66","HP5611",329,32.9,32.9
"67","HP5612",329,32.9,32.9
"68","HP5700",328,32.8,32.8
"69","HP5701",328,32.8,32.8
"70","HP5702",328,32.8,32.8
"71","HP5703",329,32.9,32.9
"72","HP5704",329,32.9,32.9
"73","HP5705",329,32.9,32.9
"74","HP5706",329.5,32.95,32.95
"75","HP5707",329.5,32.95,32.95
"76","HP5708",329.5,32.95,32.95
"77","HP5709",330,33,33
"78","HP5710",329.5,32.95,32.95
"79","HP5711",329.5,32.95,32.95
"80","HP5712",329.5,32.95,32.95
"81","HP5713",329.5,32.95,32.95
"82","HP5714",329.5,32.95,32.95
"83","HP5715",329,32.9,32.9
"84","HP5800",328.5,32.85,32.85
"85","HP5801",329.5,32.95,32.95
"86","HP5802",329.5,32.95,32.95
"87","HP5803",329.5,32.95,32.95
"88","HP5804",330,33,33
"89","HP5805",330,33,33
"90","HP5806",330,33,33
"91","HP5807",330,33,33
"92","HP5808",330,33,33
"93","HP5809",330,33,33
"94","HP5810",330,33,33
"95","HP5811",330,33,33
"96","HP5812",330,33,33
"97","HP5813",330,33,33
"98","HP5814",329.5,32.95,32.95
"99","HP5815",329.5,32.95,32.95
"100","HP5900",329,32.9,32.9
"101","HP5901",329.5,32.95,32.95
"102","HP5902",329.5,32.95,32.95
"103","HP5903",329.5,32.95,32.95
"104","HP5904",329.5,32.95,32.95
"105","HP5905",329.5,32.95,32.95
"106","HP5906",329.5,32.95,32.95
"107","HP5907",329.5,32.95,32.95
"108","HP5908",329.5,32.95,32.95
"109","HP5909",329.5,32.95,32.95
"110","HP5910",329.5,32.95,32.95
"111","HP5911",329.5,32.95,32.95
"112","HP5912",329.5,32.95,32.95
"113","HP5913",329.5,32.95,32.95
"114","HP5914",329.5,32.95,32.95
"115","HP5915",329,32.9,32.9
"116","HP5916",328.5,32.85,32.85
"117","HP5917",328,32.8,32.8
"118","HP5918",328,32.8,32.8
"119","HP6000",329,32.9,32.9
"120","HP6001",329,32.9,32.9
"121","HP6002",329,32.9,32.9
"122","HP6003",328.5,32.85,32.85
"123","HP6004",328.5,32.85,32.85
"124","HP6005",328,32.8,32.8
"125","HP6006",328,32.8,32.8
"126","HP6007",328,32.8,32.8
"127","HP6008",328,32.8,32.8
"128","HP6009",328,32.8,32.8
"129","HP6010",329,32.9,32.9
"130","HP6011",329,32.9,32.9
"131","HP6012",328.5,32.85,32.85
"132","HP6013",328.5,32.85,32.85
"133","HP6014",328.5,32.85,32.85
"134","HP6015",328.5,32.85,32.85
"135","HP6016",328,32.8,32.8
"136","HP6017",327.5,32.75,32.75
"137","HP6018",327.5,32.75,32.75
"138","HP6019",327.5,32.75,32.75
"139","HP6100",328,32.8,32.8
"140","HP6101",328,32.8,32.8
"141","HP6102",328,32.8,32.8
"142","HP6103",328,32.8,32.8
"143","HP6104",327,32.7,32.7
"144","HP6105",327,32.7,32.7
"145","HP6106",326.5,32.65,32.65
"146","HP6107",326.5,32.65,32.65
"147","HP6108",326.5,32.65,32.65
"148","HP6109",327,32.7,32.7
"149","HP6110",327,32.7,32.7
"150","HP6111",327.5,32.75,32.75
"151","HP6112",327.5,32.75,32.75
"152","HP6113",327.5,32.75,32.75
"153","HP6114",327.5,32.75,32.75
"154","HP6115",327.5,32.75,32.75
"155","HP6116",327.5,32.75,32.75
"156","HP6117",327,32.7,32.7
"157","HP6118",327,32.7,32.7
"158","HP6120",327.5,32.75,32.75
"159","HP6200",327,32.7,32.7
"160","HP6201",326.5,32.65,32.65
"161","HP6202",326.5,32.65,32.65
"162","HP6203",327,32.7,32.7
"163","HP6204",326,32.6,32.6
"164","HP6205",325.5,32.55,32.55
"165","HP6206",325.5,32.55,32.55
"166","HP6207",325.5,32.55,32.55
"167","HP6208",325.5,32.55,32.55
"168","HP6209",325.5,32.55,32.55
"169","HP6210",326,32.6,32.6
"170","HP6211",326.5,32.65,32.65
"171","HP6212",326.5,32.65,32.65
"172","HP6213",326.5,32.65,32.65
"173","HP6214",326.5,32.65,32.65
"174","HP6215",326.5,32.65,32.65
"175","HP6216",325.5,32.55,32.55
"176","HP6217",325.5,32.55,32.55
"177","HP6300",325.5,32.55,32.55
"178","HP6301",325.5,32.55,32.55
"179","HP6302",325,32.5,32.5
"180","HP6304",325,32.5,32.5
"181","HP6305",324.5,32.45,32.45
"182","HP6306",324.5,32.45,32.45
"183","HP6307",324.5,32.45,32.45
"184","HP6308",324.5,32.45,32.45
"185","HP6309",324.5,32.45,32.45
"186","HP6310",325.5,32.55,32.55
"187","HP6311",325.5,32.55,32.55
"188","HP6312",326,32.6,32.6
"189","HP6313",326,32.6,32.6
"190","HP6314",325.5,32.55,32.55
"191","HP6315",325.5,32.55,32.55
"192","HP6316",325,32.5,32.5
"193","HP6317",324.5,32.45,32.45
"194","HP6318",324.5,32.45,32.45
"195","HP6405",323,32.3,32.3
"196","HP6406",323.5,32.35,32.35
"197","HP6407",323.5,32.35,32.35
"198","HP6408",323.5,32.35,32.35
"199","HP6409",324.5,32.45,32.45
"200","HP6410",324.5,32.45,32.45
"201","HP6411",325.5,32.55,32.55
"202","HP6412",325.5,32.55,32.55
"203","HP6413",325,32.5,32.5
"204","HP6414",325,32.5,32.5
"205","HP6415",324.5,32.45,32.45
"206","HP6416",324,32.4,32.4
"207","HP6417",323.5,32.35,32.35
"208","HP6506",323.5,32.35,32.35
"209","HP6507",323.5,32.35,32.35
"210","HP6508",323.5,32.35,32.35
"211","HP6509",323.5,32.35,32.35
"212","HP6511",324.5,32.45,32.45
"213","HP6512",324.5,32.45,32.45
"214","HP6513",324,32.4,32.4
"215","HP6514",323.5,32.35,32.35
"216","HP6515",323.5,32.35,32.35
"217","HP6516",323,32.3,32.3
"218","HP6517",322.5,32.25,32.25
"219","HP6606",324,32.4,32.4
"220","HP6607",324,32.4,32.4
"221","HP6608",323.5,32.35,32.35
"222","HP6609",323,32.3,32.3
"223","HP6611",323.5,32.35,32.35
"224","HP6612",323.5,32.35,32.35
"225","HP6613",323.5,32.35,32.35
"226","HP6614",323,32.3,32.3
"227","HP6615",322.5,32.25,32.25
"228","HP6616",322.5,32.25,32.25
"229","HP6617",322,32.2,32.2
"230","HP6715",322,32.2,32.2
"231","HP6716",322,32.2,32.2
"232","HP6717",322,32.2,32.2
"233","HT9338",331,33.1,33.1
"234","HT9339",330.5,33.05,33.05
"235","HT9340",330,33,33
"236","HT9437",331,33.1,33.1
"237","HT9438",331,33.1,33.1
"238","HT9439",330.5,33.05,33.05
"239","HT9440",329.5,32.95,32.95
"240","HT9537",331,33.1,33.1
"241","HT9538",330,33,33
"242","HT9539",330,33,33
"243","HT9540",329,32.9,32.9
"244","HT9541",328.5,32.85,32.85
"245","HT9636",330,33,33
"246","HT9637",329.5,32.95,32.95
"247","HT9638",329,32.9,32.9
"248","HT9639",328,32.8,32.8
"249","HT9640",328,32.8,32.8
"250","HT9641",327.5,32.75,32.75
"251","HT9736",329.5,32.95,32.95
"252","HT9737",328.5,32.85,32.85
"253","HT9738",327.5,32.75,32.75
"254","HT9739",327.5,32.75,32.75
"255","HT9740",326.5,32.65,32.65
"256","HT9741",327,32.7,32.7
"257","HU0964",332,33.2,33.2
"258","HU0965",332,33.2,33.2
"259","HU1065",332,33.2,33.2
"260","HU1361",334,33.4,33.4
"261","HU1460",334,33.4,33.4
"262","HU1461",334,33.4,33.4
"263","HU1462",334,33.4,33.4
"264","HU1559",334,33.4,33.4
"265","HU1560",334,33.4,33.4
"266","HU1561",334,33.4,33.4
"267","HU1562",334,33.4,33.4
"268","HU1651",338,33.8,33.8
"269","HU1652",337.5,33.75,33.75
"270","HU1653",338,33.8,33.8
"271","HU1655",335.5,33.55,33.55
"272","HU1656",335.5,33.55,33.55
"273","HU1659",334,33.4,33.4
"274","HU1660",333.5,33.35,33.35
"275","HU1661",333.5,33.35,33.35
"276","HU1662",333.5,33.35,33.35
"277","HU1749",339.5,33.95,33.95
"278","HU1750",339,33.9,33.9
"279","HU1751",339,33.9,33.9
"280","HU1752",338.5,33.85,33.85
"281","HU1753",337.5,33.75,33.75
"282","HU1754",337,33.7,33.7
"283","HU1755",336.5,33.65,33.65
"284","HU1756",335.5,33.55,33.55
"285","HU1757",334.5,33.45,33.45
"286","HU1759",333.5,33.35,33.35
"287","HU1760",333.5,33.35,33.35
"288","HU1761",333,33.3,33.3
"289","HU1762",333,33.3,33.3
"290","HU1849",340.5,34.05,34.05
"291","HU1850",340.5,34.05,34.05
"292","HU1851",339.5,33.95,33.95
"293","HU1852",338.5,33.85,33.85
"294","HU1853",337.5,33.75,33.75
"295","HU1854",337,33.7,33.7
"296","HU1855",336,33.6,33.6
"297","HU1856",335,33.5,33.5
"298","HU1857",334,33.4,33.4
"299","HU1859",333,33.3,33.3
"300","HU1860",332.5,33.25,33.25
"301","HU1861",332.5,33.25,33.25
"302","HU1862",332.5,33.25,33.25
"303","HU1947",340,34,34
"304","HU1948",340.5,34.05,34.05
"305","HU1949",340,34,34
"306","HU1950",340,34,34
"307","HU1951",338.6,33.86,33.86
"308","HU1952",337.5,33.75,33.75
"309","HU1953",336.5,33.65,33.65
"310","HU1954",335.5,33.55,33.55
"311","HU1955",334.5,33.45,33.45
"312","HU1956",334,33.4,33.4
"313","HU1957",333,33.3,33.3
"314","HU1958",332.5,33.25,33.25
"315","HU2046",339,33.9,33.9
"316","HU2047",339.5,33.95,33.95
"317","HU2048",339.5,33.95,33.95
"318","HU2049",339,33.9,33.9
"319","HU2050",338,33.8,33.8
"320","HU2051",337.4,33.74,33.74
"321","HU2052",336,33.6,33.6
"322","HU2053",334.6,33.46,33.46
"323","HU2054",334,33.4,33.4
"324","HU2055",333,33.3,33.3
"325","HU2056",332,33.2,33.2
"326","HU2057",332,33.2,33.2
"327","HU2058",331.5,33.15,33.15
"328","HU2076",332.5,33.25,33.25
"329","HU2077",331.5,33.15,33.15
"330","HU2078",331.5,33.15,33.15
"331","HU2079",331,33.1,33.1
"332","HU2146",339,33.9,33.9
"333","HU2147",339.5,33.95,33.95
"334","HU2148",339.5,33.95,33.95
"335","HU2149",338,33.8,33.8
"336","HU2150",337,33.7,33.7
"337","HU2151",336,33.6,33.6
"338","HU2152",334.6,33.46,33.46
"339","HU2153",333.4,33.34,33.34
"340","HU2154",332,33.2,33.2
"341","HU2155",332,33.2,33.2
"342","HU2156",331,33.1,33.1
"343","HU2157",330.5,33.05,33.05
"344","HU2158",330.5,33.05,33.05
"345","HU2176",333,33.3,33.3
"346","HU2177",332.5,33.25,33.25
"347","HU2178",332,33.2,33.2
"348","HU2179",331.5,33.15,33.15
"349","HU2180",330.5,33.05,33.05
"350","HU2184",329,32.9,32.9
"351","HU2185",329,32.9,32.9
"352","HU2245",338.5,33.85,33.85
"353","HU2246",338.5,33.85,33.85
"354","HU2247",338.5,33.85,33.85
"355","HU2248",338.5,33.85,33.85
"356","HU2249",337.5,33.75,33.75
"357","HU2250",336,33.6,33.6
"358","HU2251",335,33.5,33.5
"359","HU2252",333.5,33.35,33.35
"360","HU2253",332,33.2,33.2
"361","HU2254",331,33.1,33.1
"362","HU2255",330.5,33.05,33.05
"363","HU2256",330,33,33
"364","HU2257",329.5,32.95,32.95
"365","HU2258",330,33,33
"366","HU2277",334,33.4,33.4
"367","HU2278",333,33.3,33.3
"368","HU2279",332,33.2,33.2
"369","HU2280",331,33.1,33.1
"370","HU2284",329,32.9,32.9
"371","HU2285",329,32.9,32.9
"372","HU2345",338.5,33.85,33.85
"373","HU2346",338.5,33.85,33.85
"374","HU2347",338.5,33.85,33.85
"375","HU2348",337.5,33.75,33.75
"376","HU2349",337,33.7,33.7
"377","HU2350",335,33.5,33.5
"378","HU2351",334,33.4,33.4
"379","HU2352",333,33.3,33.3
"380","HU2353",331.5,33.15,33.15
"381","HU2354",330.5,33.05,33.05
"382","HU2355",329.5,32.95,32.95
"383","HU2356",329.5,32.95,32.95
"384","HU2357",329,32.9,32.9
"385","HU2376",335,33.5,33.5
"386","HU2377",335,33.5,33.5
"387","HU2378",334,33.4,33.4
"388","HU2379",333.5,33.35,33.35
"389","HU2380",333,33.3,33.3
"390","HU2381",332.5,33.25,33.25
"391","HU2382",331.5,33.15,33.15
"392","HU2383",330.5,33.05,33.05
"393","HU2444",339,33.9,33.9
"394","HU2445",339,33.9,33.9
"395","HU2446",338.5,33.85,33.85
"396","HU2447",338.5,33.85,33.85
"397","HU2448",337.5,33.75,33.75
"398","HU2449",336.5,33.65,33.65
"399","HU2450",335,33.5,33.5
"400","HU2451",333.5,33.35,33.35
"401","HU2452",333,33.3,33.3
"402","HU2453",332,33.2,33.2
"403","HU2454",330.5,33.05,33.05
"404","HU2455",330,33,33
"405","HU2456",329.5,32.95,32.95
"406","HU2457",329.5,32.95,32.95
"407","HU2458",330.5,33.05,33.05
"408","HU2459",331,33.1,33.1
"409","HU2477",335.5,33.55,33.55
"410","HU2478",335.5,33.55,33.55
"411","HU2479",335,33.5,33.5
"412","HU2480",334,33.4,33.4
"413","HU2481",333,33.3,33.3
"414","HU2482",332,33.2,33.2
"415","HU2483",331,33.1,33.1
"416","HU2484",330.5,33.05,33.05
"417","HU2485",329.5,32.95,32.95
"418","HU2543",339.5,33.95,33.95
"419","HU2544",339.5,33.95,33.95
"420","HU2545",339.5,33.95,33.95
"421","HU2546",339,33.9,33.9
"422","HU2547",338.5,33.85,33.85
"423","HU2548",337.5,33.75,33.75
"424","HU2549",337,33.7,33.7
"425","HU2550",335,33.5,33.5
"426","HU2551",334.4,33.44,33.44
"427","HU2552",333.333333333333,33.3333333333333,33.33
"428","HU2553",332.6,33.26,33.26
"429","HU2554",332,33.2,33.2
"430","HU2555",331,33.1,33.1
"431","HU2556",330.5,33.05,33.05
"432","HU2557",330.5,33.05,33.05
"433","HU2558",331,33.1,33.1
"434","HU2559",331,33.1,33.1
"435","HU2575",337,33.7,33.7
"436","HU2577",337,33.7,33.7
"437","HU2578",337,33.7,33.7
"438","HU2579",336,33.6,33.6
"439","HU2580",335,33.5,33.5
"440","HU2581",334,33.4,33.4
"441","HU2582",332.5,33.25,33.25
"442","HU2583",331.5,33.15,33.15
"443","HU2584",330.5,33.05,33.05
"444","HU2585",329.5,32.95,32.95
"445","HU2643",340,34,34
"446","HU2644",340,34,34
"447","HU2645",339.5,33.95,33.95
"448","HU2646",339.5,33.95,33.95
"449","HU2647",339,33.9,33.9
"450","HU2648",338,33.8,33.8
"451","HU2649",337,33.7,33.7
"452","HU2650",336.5,33.65,33.65
"453","HU2651",335,33.5,33.5
"454","HU2652",334.5,33.45,33.45
"455","HU2653",333.5,33.35,33.35
"456","HU2654",333,33.3,33.3
"457","HU2655",332,33.2,33.2
"458","HU2656",331.5,33.15,33.15
"459","HU2657",331.5,33.15,33.15
"460","HU2658",331.5,33.15,33.15
"461","HU2659",332.5,33.25,33.25
"462","HU2675",337.5,33.75,33.75
"463","HU2676",338,33.8,33.8
"464","HU2677",338,33.8,33.8
"465","HU2678",337.5,33.75,33.75
"466","HU2679",337,33.7,33.7
"467","HU2680",336,33.6,33.6
"468","HU2681",334.5,33.45,33.45
"469","HU2682",333,33.3,33.3
"470","HU2683",332,33.2,33.2
"471","HU2684",330.5,33.05,33.05
"472","HU2685",329.5,32.95,32.95
"473","HU2741",340,34,34
"474","HU2742",340.5,34.05,34.05
"475","HU2743",340.5,34.05,34.05
"476","HU2744",340.5,34.05,34.05
"477","HU2745",340,34,34
"478","HU2746",339.5,33.95,33.95
"479","HU2747",339.5,33.95,33.95
"480","HU2748",339,33.9,33.9
"481","HU2749",338,33.8,33.8
"482","HU2750",337,33.7,33.7
"483","HU2751",336,33.6,33.6
"484","HU2752",335,33.5,33.5
"485","HU2753",334.5,33.45,33.45
"486","HU2754",333.5,33.35,33.35
"487","HU2755",332.5,33.25,33.25
"488","HU2756",332.5,33.25,33.25
"489","HU2757",332.5,33.25,33.25
"490","HU2758",332.5,33.25,33.25
"491","HU2759",332.5,33.25,33.25
"492","HU2760",333,33.3,33.3
"493","HU2774",337,33.7,33.7
"494","HU2775",337.5,33.75,33.75
"495","HU2776",338.5,33.85,33.85
"496","HU2777",338.5,33.85,33.85
"497","HU2778",338.5,33.85,33.85
"498","HU2779",338,33.8,33.8
"499","HU2780",337,33.7,33.7
"500","HU2781",335.5,33.55,33.55
"501","HU2782",334.4,33.44,33.44
"502","HU2783",333,33.3,33.3
"503","HU2784",332,33.2,33.2
"504","HU2785",330.5,33.05,33.05
"505","HU2841",340.5,34.05,34.05
"506","HU2842",340.5,34.05,34.05
"507","HU2843",341,34.1,34.1
"508","HU2844",340.5,34.05,34.05
"509","HU2845",340.5,34.05,34.05
"510","HU2846",340,34,34
"511","HU2847",339.5,33.95,33.95
"512","HU2848",339.5,33.95,33.95
"513","HU2849",338.5,33.85,33.85
"514","HU2850",337.5,33.75,33.75
"515","HU2851",336.5,33.65,33.65
"516","HU2852",335.5,33.55,33.55
"517","HU2853",335,33.5,33.5
"518","HU2854",334,33.4,33.4
"519","HU2855",333.5,33.35,33.35
"520","HU2856",333,33.3,33.3
"521","HU2857",333,33.3,33.3
"522","HU2858",333,33.3,33.3
"523","HU2859",333.5,33.35,33.35
"524","HU2860",333.5,33.35,33.35
"525","HU2861",333.5,33.35,33.35
"526","HU2862",334,33.4,33.4
"527","HU2865",335,33.5,33.5
"528","HU2874",337,33.7,33.7
"529","HU2875",338,33.8,33.8
"530","HU2876",338.5,33.85,33.85
"531","HU2877",339,33.9,33.9
"532","HU2878",339,33.9,33.9
"533","HU2879",338.5,33.85,33.85
"534","HU2880",338,33.8,33.8
"535","HU2881",336.5,33.65,33.65
"536","HU2882",335.333333333333,33.5333333333333,33.53
"537","HU2883",334,33.4,33.4
"538","HU2884",333,33.3,33.3
"539","HU2885",332,33.2,33.2
"540","HU2886",330.5,33.05,33.05
"541","HU2940",339.5,33.95,33.95
"542","HU2941",340,34,34
"543","HU2942",340.5,34.05,34.05
"544","HU2943",341,34.1,34.1
"545","HU2944",340.5,34.05,34.05
"546","HU2945",340.5,34.05,34.05
"547","HU2946",340,34,34
"548","HU2947",340,34,34
"549","HU2948",339.5,33.95,33.95
"550","HU2949",339,33.9,33.9
"551","HU2950",338,33.8,33.8
"552","HU2951",337,33.7,33.7
"553","HU2952",336.5,33.65,33.65
"554","HU2953",335.5,33.55,33.55
"555","HU2954",334.5,33.45,33.45
"556","HU2955",334,33.4,33.4
"557","HU2956",333.5,33.35,33.35
"558","HU2957",333.5,33.35,33.35
"559","HU2958",333.5,33.35,33.35
"560","HU2959",333.5,33.35,33.35
"561","HU2960",334.5,33.45,33.45
"562","HU2961",334.5,33.45,33.45
"563","HU2962",334.5,33.45,33.45
"564","HU2963",335,33.5,33.5
"565","HU2964",335,33.5,33.5
"566","HU2965",334.5,33.45,33.45
"567","HU2966",335,33.5,33.5
"568","HU2971",336,33.6,33.6
"569","HU2972",336,33.6,33.6
"570","HU2973",336.5,33.65,33.65
"571","HU2974",336.5,33.65,33.65
"572","HU2975",337.5,33.75,33.75
"573","HU2976",338.5,33.85,33.85
"574","HU2977",339,33.9,33.9
"575","HU2978",339,33.9,33.9
"576","HU2979",338.5,33.85,33.85
"577","HU2980",338,33.8,33.8
"578","HU2981",336.8,33.68,33.68
"579","HU2982",336,33.6,33.6
"580","HU2983",334.5,33.45,33.45
"581","HU2984",333,33.3,33.3
"582","HU2985",332,33.2,33.2
"583","HU2986",331,33.1,33.1
"584","HU2987",330.5,33.05,33.05
"585","HU3040",339.5,33.95,33.95
"586","HU3041",340,34,34
"587","HU3042",340.5,34.05,34.05
"588","HU3043",341,34.1,34.1
"589","HU3044",341,34.1,34.1
"590","HU3045",340.5,34.05,34.05
"591","HU3046",340.5,34.05,34.05
"592","HU3047",340,34,34
"593","HU3048",339.5,33.95,33.95
"594","HU3049",339,33.9,33.9
"595","HU3050",338.5,33.85,33.85
"596","HU3051",337.5,33.75,33.75
"597","HU3052",337,33.7,33.7
"598","HU3053",336,33.6,33.6
"599","HU3054",336,33.6,33.6
"600","HU3055",335,33.5,33.5
"601","HU3056",334.5,33.45,33.45
"602","HU3057",334.5,33.45,33.45
"603","HU3058",334.5,33.45,33.45
"604","HU3059",334.5,33.45,33.45
"605","HU3060",335,33.5,33.5
"606","HU3061",335.5,33.55,33.55
"607","HU3062",335.5,33.55,33.55
"608","HU3063",335.5,33.55,33.55
"609","HU3064",335.5,33.55,33.55
"610","HU3065",335.5,33.55,33.55
"611","HU3066",335.5,33.55,33.55
"612","HU3067",335,33.5,33.5
"613","HU3070",336,33.6,33.6
"614","HU3071",336,33.6,33.6
"615","HU3072",336,33.6,33.6
"616","HU3073",336.5,33.65,33.65
"617","HU3074",337,33.7,33.7
"618","HU3075",337.5,33.75,33.75
"619","HU3076",338.5,33.85,33.85
"620","HU3077",338.5,33.85,33.85
"621","HU3078",338.5,33.85,33.85
"622","HU3079",338,33.8,33.8
"623","HU3080",337,33.7,33.7
"624","HU3081",336,33.6,33.6
"625","HU3082",335,33.5,33.5
"626","HU3083",334,33.4,33.4
"627","HU3084",333,33.3,33.3
"628","HU3085",331.5,33.15,33.15
"629","HU3086",331.5,33.15,33.15
"630","HU3087",330.5,33.05,33.05
"631","HU3088",330,33,33
"632","HU3089",329.5,32.95,32.95
"633","HU3090",329,32.9,32.9
"634","HU3091",329,32.9,32.9
"635","HU3092",329,32.9,32.9
"636","HU3093",329,32.9,32.9
"637","HU3140",339,33.9,33.9
"638","HU3142",340,34,34
"639","HU3143",340,34,34
"640","HU3144",340.5,34.05,34.05
"641","HU3145",340.5,34.05,34.05
"642","HU3146",340,34,34
"643","HU3147",339.5,33.95,33.95
"644","HU3148",339.5,33.95,33.95
"645","HU3149",339,33.9,33.9
"646","HU3150",338.5,33.85,33.85
"647","HU3151",337.5,33.75,33.75
"648","HU3152",337.5,33.75,33.75
"649","HU3153",337,33.7,33.7
"650","HU3154",336.5,33.65,33.65
"651","HU3155",336,33.6,33.6
"652","HU3156",335.5,33.55,33.55
"653","HU3157",335.5,33.55,33.55
"654","HU3158",335.5,33.55,33.55
"655","HU3159",335.5,33.55,33.55
"656","HU3160",335.5,33.55,33.55
"657","HU3161",336,33.6,33.6
"658","HU3162",336,33.6,33.6
"659","HU3163",335.5,33.55,33.55
"660","HU3164",335.5,33.55,33.55
"661","HU3165",335.5,33.55,33.55
"662","HU3166",335,33.5,33.5
"663","HU3167",335,33.5,33.5
"664","HU3169",335.5,33.55,33.55
"665","HU3170",336,33.6,33.6
"666","HU3171",336,33.6,33.6
"667","HU3172",336,33.6,33.6
"668","HU3173",336.5,33.65,33.65
"669","HU3174",336.5,33.65,33.65
"670","HU3175",337,33.7,33.7
"671","HU3176",337,33.7,33.7
"672","HU3177",337,33.7,33.7
"673","HU3178",337,33.7,33.7
"674","HU3179",336.5,33.65,33.65
"675","HU3180",335.5,33.55,33.55
"676","HU3181",334.5,33.45,33.45
"677","HU3182",333.5,33.35,33.35
"678","HU3183",332.5,33.25,33.25
"679","HU3184",331.5,33.15,33.15
"680","HU3185",331,33.1,33.1
"681","HU3186",330.5,33.05,33.05
"682","HU3187",330,33,33
"683","HU3188",329.5,32.95,32.95
"684","HU3189",329.5,32.95,32.95
"685","HU3190",329,32.9,32.9
"686","HU3191",329,32.9,32.9
"687","HU3192",329,32.9,32.9
"688","HU3193",329,32.9,32.9
"689","HU3241",339,33.9,33.9
"690","HU3242",339.5,33.95,33.95
"691","HU3243",339.5,33.95,33.95
"692","HU3244",339.5,33.95,33.95
"693","HU3245",339.5,33.95,33.95
"694","HU3246",339.5,33.95,33.95
"695","HU3247",339.5,33.95,33.95
"696","HU3248",339,33.9,33.9
"697","HU3249",339,33.9,33.9
"698","HU3250",338.5,33.85,33.85
"699","HU3251",338,33.8,33.8
"700","HU3252",337.5,33.75,33.75
"701","HU3253",337.5,33.75,33.75
"702","HU3254",337.5,33.75,33.75
"703","HU3255",336.5,33.65,33.65
"704","HU3256",336.5,33.65,33.65
"705","HU3257",336.5,33.65,33.65
"706","HU3258",336,33.6,33.6
"707","HU3259",336,33.6,33.6
"708","HU3260",336,33.6,33.6
"709","HU3261",336,33.6,33.6
"710","HU3262",336,33.6,33.6
"711","HU3263",335.5,33.55,33.55
"712","HU3264",334.5,33.45,33.45
"713","HU3265",334.5,33.45,33.45
"714","HU3266",334.5,33.45,33.45
"715","HU3267",334.5,33.45,33.45
"716","HU3268",334.5,33.45,33.45
"717","HU3269",335.5,33.55,33.55
"718","HU3270",335.5,33.55,33.55
"719","HU3271",335.5,33.55,33.55
"720","HU3272",335.5,33.55,33.55
"721","HU3273",335.5,33.55,33.55
"722","HU3274",335.5,33.55,33.55
"723","HU3275",335.5,33.55,33.55
"724","HU3276",336,33.6,33.6
"725","HU3277",335.5,33.55,33.55
"726","HU3278",335,33.5,33.5
"727","HU3279",334.5,33.45,33.45
"728","HU3280",333.5,33.35,33.35
"729","HU3281",332.5,33.25,33.25
"730","HU3282",331.5,33.15,33.15
"731","HU3283",330.5,33.05,33.05
"732","HU3284",330,33,33
"733","HU3285",329,32.9,32.9
"734","HU3286",328.5,32.85,32.85
