"","tile_name","mean_seasonality_1981_2010","mean_seasonality_1981_2010_degrees","mean_seasonality_1981_2010_2pd"
"74","HP5706",2416.77777777778,2.41677777777778,2.42
"75","HP5707",2406.4,2.4064,2.41
"76","HP5708",2398,2.398,2.4
"77","HP5709",2390.33333333333,2.39033333333333,2.39
"78","HP5710",2386.33333333333,2.38633333333333,2.39
"79","HP5711",2413,2.413,2.41
"80","HP5712",2409.16666666667,2.40916666666667,2.41
"81","HP5713",2396.75,2.39675,2.4
"82","HP5714",2396.5,2.3965,2.4
"83","HP5715",2416,2.416,2.42
"84","HP5800",2423.8,2.4238,2.42
"85","HP5801",2417.4,2.4174,2.42
"86","HP5802",2415.8,2.4158,2.42
"87","HP5803",2436.6,2.4366,2.44
"88","HP5804",2448.5,2.4485,2.45
"89","HP5805",2460.5,2.4605,2.46
"90","HP5806",2467.125,2.467125,2.47
"91","HP5807",2467.8,2.4678,2.47
"92","HP5808",2450,2.45,2.45
"93","HP5809",2430,2.43,2.43
"94","HP5810",2436.16666666667,2.43616666666667,2.44
"95","HP5811",2442.4,2.4424,2.44
"96","HP5812",2446.5,2.4465,2.45
"97","HP5813",2431.33333333333,2.43133333333333,2.43
"98","HP5814",2412.66666666667,2.41266666666667,2.41
"99","HP5815",2404.5,2.4045,2.4
"100","HP5900",2409,2.409,2.41
"101","HP5901",2409.8,2.4098,2.41
"102","HP5902",2422.66666666667,2.42266666666667,2.42
"103","HP5903",2431.5,2.4315,2.43
"104","HP5904",2427,2.427,2.43
"105","HP5905",2434.5,2.4345,2.43
"106","HP5906",2448.88888888889,2.44888888888889,2.45
"107","HP5907",2453,2.453,2.45
"108","HP5908",2443.66666666667,2.44366666666667,2.44
"109","HP5909",2444,2.444,2.44
"110","HP5910",2449.83333333333,2.44983333333333,2.45
"111","HP5911",2432.33333333333,2.43233333333333,2.43
"112","HP5912",2449.57142857143,2.44957142857143,2.45
"113","HP5913",2460.85714285714,2.46085714285714,2.46
"114","HP5914",2450.625,2.450625,2.45
"115","HP5915",2433.57142857143,2.43357142857143,2.43
"116","HP5916",2423.2,2.4232,2.42
"117","HP5917",2403.5,2.4035,2.4
"118","HP5918",2405,2.405,2.4
"119","HP6000",2429,2.429,2.43
"120","HP6001",2440.2,2.4402,2.44
"121","HP6002",2445.5,2.4455,2.45
"122","HP6003",2449.66666666667,2.44966666666667,2.45
"123","HP6004",2439.5,2.4395,2.44
"124","HP6005",2441.28571428571,2.44128571428571,2.44
"125","HP6006",2431.3,2.4313,2.43
"126","HP6007",2423.2,2.4232,2.42
"127","HP6008",2420.83333333333,2.42083333333333,2.42
"128","HP6009",2429.28571428571,2.42928571428571,2.43
"129","HP6010",2430,2.43,2.43
"130","HP6011",2416.6,2.4166,2.42
"131","HP6012",2414.4,2.4144,2.41
"132","HP6013",2427.8,2.4278,2.43
"133","HP6014",2451.6,2.4516,2.45
"134","HP6015",2462.33333333333,2.46233333333333,2.46
"135","HP6016",2467.8,2.4678,2.47
"136","HP6017",2438,2.438,2.44
"137","HP6018",2413.8,2.4138,2.41
"138","HP6019",2414,2.414,2.41
"139","HP6100",2432.28571428571,2.43228571428571,2.43
"140","HP6101",2436.28571428571,2.43628571428571,2.44
"141","HP6102",2441.14285714286,2.44114285714286,2.44
"142","HP6103",2448.5,2.4485,2.45
"143","HP6104",2454,2.454,2.45
"144","HP6105",2459,2.459,2.46
"145","HP6106",2430,2.43,2.43
"146","HP6107",2416.14285714286,2.41614285714286,2.42
"147","HP6108",2435.4,2.4354,2.44
"148","HP6109",2456.16666666667,2.45616666666667,2.46
"149","HP6110",2451.16666666667,2.45116666666667,2.45
"150","HP6111",2429.2,2.4292,2.43
"151","HP6112",2422.2,2.4222,2.42
"152","HP6113",2423.2,2.4232,2.42
"153","HP6114",2429.25,2.42925,2.43
"154","HP6115",2439.6,2.4396,2.44
"155","HP6116",2464,2.464,2.46
"156","HP6117",2436.6,2.4366,2.44
"157","HP6118",2411.66666666667,2.41166666666667,2.41
"158","HP6120",2408,2.408,2.41
"159","HP6200",2427.6,2.4276,2.43
"160","HP6201",2425,2.425,2.42
"161","HP6202",2419,2.419,2.42
"162","HP6203",2424,2.424,2.42
"163","HP6204",2432,2.432,2.43
"164","HP6205",2438.6,2.4386,2.44
"165","HP6206",2434.8,2.4348,2.43
"166","HP6207",2415.875,2.415875,2.42
"167","HP6208",2432.83333333333,2.43283333333333,2.43
"168","HP6209",2453.6,2.4536,2.45
"169","HP6210",2441.4,2.4414,2.44
"170","HP6211",2425.16666666667,2.42516666666667,2.43
"171","HP6212",2432.6,2.4326,2.43
"172","HP6213",2456.2,2.4562,2.46
"173","HP6214",2443.6,2.4436,2.44
"174","HP6215",2444.83333333333,2.44483333333333,2.44
"175","HP6216",2442.25,2.44225,2.44
"176","HP6217",2422,2.422,2.42
"177","HP6300",2421,2.421,2.42
"178","HP6301",2417,2.417,2.42
"179","HP6302",2419,2.419,2.42
"180","HP6304",2424.5,2.4245,2.42
"181","HP6305",2430.4,2.4304,2.43
"182","HP6306",2431.66666666667,2.43166666666667,2.43
"183","HP6307",2419.42857142857,2.41942857142857,2.42
"184","HP6308",2418.5,2.4185,2.42
"185","HP6309",2442.6,2.4426,2.44
"186","HP6310",2429.66666666667,2.42966666666667,2.43
"187","HP6311",2413.66666666667,2.41366666666667,2.41
"188","HP6312",2430.16666666667,2.43016666666667,2.43
"189","HP6313",2467,2.467,2.47
"190","HP6314",2504.2,2.5042,2.5
"191","HP6315",2505.28571428571,2.50528571428571,2.51
"192","HP6316",2469.57142857143,2.46957142857143,2.47
"193","HP6317",2423,2.423,2.42
"194","HP6318",2417,2.417,2.42
"195","HP6405",2419,2.419,2.42
"196","HP6406",2428.75,2.42875,2.43
"197","HP6407",2425.28571428571,2.42528571428571,2.43
"198","HP6408",2424.33333333333,2.42433333333333,2.42
"199","HP6409",2424.33333333333,2.42433333333333,2.42
"200","HP6410",2424.33333333333,2.42433333333333,2.42
"201","HP6411",2425.25,2.42525,2.43
"202","HP6412",2425.375,2.425375,2.43
"203","HP6413",2442.875,2.442875,2.44
"204","HP6414",2475.625,2.475625,2.48
"205","HP6415",2475.125,2.475125,2.48
"206","HP6416",2438.4,2.4384,2.44
"207","HP6417",2416,2.416,2.42
"208","HP6506",2419,2.419,2.42
"209","HP6507",2421.5,2.4215,2.42
"210","HP6508",2424.5,2.4245,2.42
"211","HP6509",2418.5,2.4185,2.42
"212","HP6511",2461.2,2.4612,2.46
"213","HP6512",2447.83333333333,2.44783333333333,2.45
"214","HP6513",2428.83333333333,2.42883333333333,2.43
"215","HP6514",2438.6,2.4386,2.44
"216","HP6515",2435.66666666667,2.43566666666667,2.44
"217","HP6516",2422.66666666667,2.42266666666667,2.42
"218","HP6517",2416,2.416,2.42
"219","HP6606",2416,2.416,2.42
"220","HP6607",2422.5,2.4225,2.42
"221","HP6608",2424,2.424,2.42
"222","HP6609",2419,2.419,2.42
"223","HP6611",2464.66666666667,2.46466666666667,2.46
"224","HP6612",2441.75,2.44175,2.44
"225","HP6613",2421.33333333333,2.42133333333333,2.42
"226","HP6614",2427,2.427,2.43
"227","HP6615",2418.83333333333,2.41883333333333,2.42
"228","HP6616",2415.2,2.4152,2.42
"229","HP6617",2415,2.415,2.42
"230","HP6715",2420.33333333333,2.42033333333333,2.42
"231","HP6716",2416,2.416,2.42
"232","HP6717",2415,2.415,2.42
"233","HT9338",2386,2.386,2.39
"234","HT9339",2358.5,2.3585,2.36
"235","HT9340",2346,2.346,2.35
"236","HT9437",2516,2.516,2.52
"237","HT9438",2452.5,2.4525,2.45
"238","HT9439",2397,2.397,2.4
"239","HT9440",2350.66666666667,2.35066666666667,2.35
"240","HT9537",2435.8,2.4358,2.44
"241","HT9538",2452.85714285714,2.45285714285714,2.45
"242","HT9539",2395.5,2.3955,2.4
"243","HT9540",2355.14285714286,2.35514285714286,2.36
"244","HT9541",2331.5,2.3315,2.33
"245","HT9636",2388,2.388,2.39
"246","HT9637",2396,2.396,2.4
"247","HT9638",2386.33333333333,2.38633333333333,2.39
"248","HT9639",2367.5,2.3675,2.37
"249","HT9640",2350.75,2.35075,2.35
"250","HT9641",2335,2.335,2.34
"251","HT9736",2361,2.361,2.36
"252","HT9737",2356.75,2.35675,2.36
"253","HT9738",2363.75,2.36375,2.36
"254","HT9739",2353.75,2.35375,2.35
"255","HT9740",2343,2.343,2.34
"256","HT9741",2335,2.335,2.34
"257","HU0964",2346,2.346,2.35
"258","HU0965",2346,2.346,2.35
"259","HU1065",2341,2.341,2.34
"260","HU1361",2340,2.34,2.34
"261","HU1460",2353,2.353,2.35
"262","HU1461",2349.5,2.3495,2.35
"263","HU1462",2346,2.346,2.35
"264","HU1559",2354,2.354,2.35
"265","HU1560",2358.5,2.3585,2.36
"266","HU1561",2354.55555555556,2.35455555555556,2.35
"267","HU1562",2340.33333333333,2.34033333333333,2.34
"268","HU1651",2364,2.364,2.36
"269","HU1652",2362.5,2.3625,2.36
"270","HU1653",2364,2.364,2.36
"271","HU1655",2359,2.359,2.36
"272","HU1656",2357.33333333333,2.35733333333333,2.36
"273","HU1659",2354.4,2.3544,2.35
"274","HU1660",2356.2,2.3562,2.36
"275","HU1661",2354.2,2.3542,2.35
"276","HU1662",2342,2.342,2.34
"277","HU1749",2383,2.383,2.38
"278","HU1750",2374.75,2.37475,2.37
"279","HU1751",2381.6,2.3816,2.38
"280","HU1752",2386.16666666667,2.38616666666667,2.39
"281","HU1753",2373.75,2.37375,2.37
"282","HU1754",2386.2,2.3862,2.39
"283","HU1755",2374.16666666667,2.37416666666667,2.37
"284","HU1756",2356.4,2.3564,2.36
"285","HU1757",2349,2.349,2.35
"286","HU1759",2352.8,2.3528,2.35
"287","HU1760",2352.33333333333,2.35233333333333,2.35
"288","HU1761",2351.66666666667,2.35166666666667,2.35
"289","HU1762",2342,2.342,2.34
"290","HU1849",2394.6,2.3946,2.39
"291","HU1850",2395.66666666667,2.39566666666667,2.4
"292","HU1851",2399.6,2.3996,2.4
"293","HU1852",2426.6,2.4266,2.43
"294","HU1853",2441.42857142857,2.44142857142857,2.44
"295","HU1854",2442.57142857143,2.44257142857143,2.44
"296","HU1855",2410.375,2.410375,2.41
"297","HU1856",2366.125,2.366125,2.37
"298","HU1857",2353.16666666667,2.35316666666667,2.35
"299","HU1859",2353,2.353,2.35
"300","HU1860",2354.66666666667,2.35466666666667,2.35
"301","HU1861",2356.33333333333,2.35633333333333,2.36
"302","HU1862",2342,2.342,2.34
"303","HU1947",2380,2.38,2.38
"304","HU1948",2370.4,2.3704,2.37
"305","HU1949",2401.5,2.4015,2.4
"306","HU1950",2418.28571428571,2.41828571428571,2.42
"307","HU1951",2410,2.41,2.41
"308","HU1952",2423.28571428571,2.42328571428571,2.42
"309","HU1953",2445.16666666667,2.44516666666667,2.45
"310","HU1954",2449.33333333333,2.44933333333333,2.45
"311","HU1955",2426,2.426,2.43
"312","HU1956",2361.75,2.36175,2.36
"313","HU1957",2354.8,2.3548,2.35
"314","HU1958",2349,2.349,2.35
"315","HU2046",2374.5,2.3745,2.37
"316","HU2047",2381,2.381,2.38
"317","HU2048",2383.6,2.3836,2.38
"318","HU2049",2385.25,2.38525,2.39
"319","HU2050",2419.4,2.4194,2.42
"320","HU2051",2423.2,2.4232,2.42
"321","HU2052",2425.4,2.4254,2.43
"322","HU2053",2432.8,2.4328,2.43
"323","HU2054",2423.66666666667,2.42366666666667,2.42
"324","HU2055",2392.33333333333,2.39233333333333,2.39
"325","HU2056",2366.83333333333,2.36683333333333,2.37
"326","HU2057",2359,2.359,2.36
"327","HU2058",2356,2.356,2.36
"328","HU2076",2351.8,2.3518,2.35
"329","HU2077",2346.4,2.3464,2.35
"330","HU2078",2335,2.335,2.34
"331","HU2079",2331,2.331,2.33
"332","HU2146",2376.5,2.3765,2.38
"333","HU2147",2379.4,2.3794,2.38
"334","HU2148",2385.5,2.3855,2.39
"335","HU2149",2387.22222222222,2.38722222222222,2.39
"336","HU2150",2404.33333333333,2.40433333333333,2.4
"337","HU2151",2424.66666666667,2.42466666666667,2.42
"338","HU2152",2419,2.419,2.42
"339","HU2153",2411.33333333333,2.41133333333333,2.41
"340","HU2154",2415.66666666667,2.41566666666667,2.42
"341","HU2155",2403.16666666667,2.40316666666667,2.4
"342","HU2156",2381.2,2.3812,2.38
"343","HU2157",2364.75,2.36475,2.36
"344","HU2158",2361,2.361,2.36
"345","HU2176",2362,2.362,2.36
"346","HU2177",2360.75,2.36075,2.36
"347","HU2178",2350.5,2.3505,2.35
"348","HU2179",2346.75,2.34675,2.35
"349","HU2180",2338,2.338,2.34
"350","HU2184",2338,2.338,2.34
"351","HU2185",2338,2.338,2.34
"352","HU2245",2381.75,2.38175,2.38
"353","HU2246",2376.66666666667,2.37666666666667,2.38
"354","HU2247",2372.4,2.3724,2.37
"355","HU2248",2380,2.38,2.38
"356","HU2249",2393,2.393,2.39
"357","HU2250",2394.16666666667,2.39416666666667,2.39
"358","HU2251",2407.6,2.4076,2.41
"359","HU2252",2405.16666666667,2.40516666666667,2.41
"360","HU2253",2399.83333333333,2.39983333333333,2.4
"361","HU2254",2408.66666666667,2.40866666666667,2.41
"362","HU2255",2396.5,2.3965,2.4
"363","HU2256",2375.16666666667,2.37516666666667,2.38
"364","HU2257",2367.66666666667,2.36766666666667,2.37
"365","HU2258",2366,2.366,2.37
"366","HU2277",2360.71428571429,2.36071428571429,2.36
"367","HU2278",2362.33333333333,2.36233333333333,2.36
"368","HU2279",2354,2.354,2.35
"369","HU2280",2338,2.338,2.34
"370","HU2284",2338,2.338,2.34
"371","HU2285",2338,2.338,2.34
"372","HU2345",2383.8,2.3838,2.38
"373","HU2346",2382,2.382,2.38
"374","HU2347",2372.75,2.37275,2.37
"375","HU2348",2376.6,2.3766,2.38
"376","HU2349",2381.75,2.38175,2.38
"377","HU2350",2390.5,2.3905,2.39
"378","HU2351",2397.25,2.39725,2.4
"379","HU2352",2392.2,2.3922,2.39
"380","HU2353",2394.75,2.39475,2.39
"381","HU2354",2399.6,2.3996,2.4
"382","HU2355",2382.16666666667,2.38216666666667,2.38
"383","HU2356",2367.83333333333,2.36783333333333,2.37
"384","HU2357",2367.33333333333,2.36733333333333,2.37
"385","HU2376",2358,2.358,2.36
"386","HU2377",2359.6,2.3596,2.36
"387","HU2378",2357.33333333333,2.35733333333333,2.36
"388","HU2379",2351.66666666667,2.35166666666667,2.35
"389","HU2380",2352,2.352,2.35
"390","HU2381",2359.5,2.3595,2.36
"391","HU2382",2357.75,2.35775,2.36
"392","HU2383",2348,2.348,2.35
"393","HU2444",2375,2.375,2.38
"394","HU2445",2376.33333333333,2.37633333333333,2.38
"395","HU2446",2379.33333333333,2.37933333333333,2.38
"396","HU2447",2380,2.38,2.38
"397","HU2448",2374.6,2.3746,2.37
"398","HU2449",2379.625,2.379625,2.38
"399","HU2450",2386.66666666667,2.38666666666667,2.39
"400","HU2451",2388.6,2.3886,2.39
"401","HU2452",2390,2.39,2.39
"402","HU2453",2395.42857142857,2.39542857142857,2.4
"403","HU2454",2391.57142857143,2.39157142857143,2.39
"404","HU2455",2378.83333333333,2.37883333333333,2.38
"405","HU2456",2372,2.372,2.37
"406","HU2457",2373.75,2.37375,2.37
"407","HU2458",2367.5,2.3675,2.37
"408","HU2459",2366,2.366,2.37
"409","HU2477",2361.5,2.3615,2.36
"410","HU2478",2364.16666666667,2.36416666666667,2.36
"411","HU2479",2372.16666666667,2.37216666666667,2.37
"412","HU2480",2384.8,2.3848,2.38
"413","HU2481",2381.5,2.3815,2.38
"414","HU2482",2379.33333333333,2.37933333333333,2.38
"415","HU2483",2379.2,2.3792,2.38
"416","HU2484",2362,2.362,2.36
"417","HU2485",2345.5,2.3455,2.35
"418","HU2543",2394,2.394,2.39
"419","HU2544",2395.83333333333,2.39583333333333,2.4
"420","HU2545",2392.16666666667,2.39216666666667,2.39
"421","HU2546",2380.14285714286,2.38014285714286,2.38
"422","HU2547",2381,2.381,2.38
"423","HU2548",2382.57142857143,2.38257142857143,2.38
"424","HU2549",2383.63636363636,2.38363636363636,2.38
"425","HU2550",2383,2.383,2.38
"426","HU2551",2381.16666666667,2.38116666666667,2.38
"427","HU2552",2382.16666666667,2.38216666666667,2.38
"428","HU2553",2388.25,2.38825,2.39
"429","HU2554",2388.8,2.3888,2.39
"430","HU2555",2384.8,2.3848,2.38
"431","HU2556",2385.6,2.3856,2.39
"432","HU2557",2381.33333333333,2.38133333333333,2.38
"433","HU2558",2371.4,2.3714,2.37
"434","HU2559",2366,2.366,2.37
"435","HU2575",2348,2.348,2.35
"436","HU2577",2374,2.374,2.37
"437","HU2578",2379.83333333333,2.37983333333333,2.38
"438","HU2579",2384.5,2.3845,2.38
"439","HU2580",2386.66666666667,2.38666666666667,2.39
"440","HU2581",2386.16666666667,2.38616666666667,2.39
"441","HU2582",2388.6,2.3886,2.39
"442","HU2583",2393,2.393,2.39
"443","HU2584",2379.33333333333,2.37933333333333,2.38
"444","HU2585",2356.5,2.3565,2.36
"445","HU2643",2408,2.408,2.41
"446","HU2644",2415.66666666667,2.41566666666667,2.42
"447","HU2645",2413.16666666667,2.41316666666667,2.41
"448","HU2646",2391.6,2.3916,2.39
"449","HU2647",2378.25,2.37825,2.38
"450","HU2648",2379.5,2.3795,2.38
"451","HU2649",2384.85714285714,2.38485714285714,2.38
"452","HU2650",2390.5,2.3905,2.39
"453","HU2651",2391.66666666667,2.39166666666667,2.39
"454","HU2652",2384.75,2.38475,2.38
"455","HU2653",2387,2.387,2.39
"456","HU2654",2394.16666666667,2.39416666666667,2.39
"457","HU2655",2398.6,2.3986,2.4
"458","HU2656",2395.75,2.39575,2.4
"459","HU2657",2398.66666666667,2.39866666666667,2.4
"460","HU2658",2388.4,2.3884,2.39
"461","HU2659",2370.5,2.3705,2.37
"462","HU2675",2358.25,2.35825,2.36
"463","HU2676",2363.5,2.3635,2.36
"464","HU2677",2397.2,2.3972,2.4
"465","HU2678",2400,2.4,2.4
"466","HU2679",2401.8,2.4018,2.4
"467","HU2680",2403.4,2.4034,2.4
"468","HU2681",2396.66666666667,2.39666666666667,2.4
"469","HU2682",2377.66666666667,2.37766666666667,2.38
"470","HU2683",2372.4,2.3724,2.37
"471","HU2684",2372,2.372,2.37
"472","HU2685",2353.66666666667,2.35366666666667,2.35
"473","HU2741",2401.5,2.4015,2.4
"474","HU2742",2398.2,2.3982,2.4
"475","HU2743",2400.8,2.4008,2.4
"476","HU2744",2411.16666666667,2.41116666666667,2.41
"477","HU2745",2403.83333333333,2.40383333333333,2.4
"478","HU2746",2385.83333333333,2.38583333333333,2.39
"479","HU2747",2382.4,2.3824,2.38
"480","HU2748",2385.66666666667,2.38566666666667,2.39
"481","HU2749",2394.5,2.3945,2.39
"482","HU2750",2402.75,2.40275,2.4
"483","HU2751",2399.5,2.3995,2.4
"484","HU2752",2396.16666666667,2.39616666666667,2.4
"485","HU2753",2395.2,2.3952,2.4
"486","HU2754",2395.8,2.3958,2.4
"487","HU2755",2400.4,2.4004,2.4
"488","HU2756",2395.75,2.39575,2.4
"489","HU2757",2392,2.392,2.39
"490","HU2758",2385.8,2.3858,2.39
"491","HU2759",2372.33333333333,2.37233333333333,2.37
"492","HU2760",2375,2.375,2.38
"493","HU2774",2365,2.365,2.37
"494","HU2775",2364.57142857143,2.36457142857143,2.36
"495","HU2776",2365.8,2.3658,2.37
"496","HU2777",2389.83333333333,2.38983333333333,2.39
"497","HU2778",2413,2.413,2.41
"498","HU2779",2423.33333333333,2.42333333333333,2.42
"499","HU2780",2416.8,2.4168,2.42
"500","HU2781",2383.8,2.3838,2.38
"501","HU2782",2360.42857142857,2.36042857142857,2.36
"502","HU2783",2374.5,2.3745,2.37
"503","HU2784",2366.75,2.36675,2.37
"504","HU2785",2354,2.354,2.35
"505","HU2841",2408,2.408,2.41
"506","HU2842",2410.5,2.4105,2.41
"507","HU2843",2412.5,2.4125,2.41
"508","HU2844",2406,2.406,2.41
"509","HU2845",2390,2.39,2.39
"510","HU2846",2387.16666666667,2.38716666666667,2.39
"511","HU2847",2393.6,2.3936,2.39
"512","HU2848",2396.25,2.39625,2.4
"513","HU2849",2399.71428571429,2.39971428571429,2.4
"514","HU2850",2408.83333333333,2.40883333333333,2.41
"515","HU2851",2394.83333333333,2.39483333333333,2.39
"516","HU2852",2389.33333333333,2.38933333333333,2.39
"517","HU2853",2391.6,2.3916,2.39
"518","HU2854",2384.25,2.38425,2.38
"519","HU2855",2386.2,2.3862,2.39
"520","HU2856",2387.6,2.3876,2.39
"521","HU2857",2376.83333333333,2.37683333333333,2.38
"522","HU2858",2371.75,2.37175,2.37
"523","HU2859",2375.6,2.3756,2.38
"524","HU2860",2374,2.374,2.37
"525","HU2861",2374,2.374,2.37
"526","HU2862",2375,2.375,2.38
"527","HU2865",2375,2.375,2.38
"528","HU2874",2365.5,2.3655,2.37
"529","HU2875",2364.5,2.3645,2.36
"530","HU2876",2362.2,2.3622,2.36
"531","HU2877",2377.71428571429,2.37771428571429,2.38
"532","HU2878",2403.57142857143,2.40357142857143,2.4
"533","HU2879",2410.75,2.41075,2.41
"534","HU2880",2392.85714285714,2.39285714285714,2.39
"535","HU2881",2367.14285714286,2.36714285714286,2.37
"536","HU2882",2412.66666666667,2.41266666666667,2.41
"537","HU2883",2450.33333333333,2.45033333333333,2.45
"538","HU2884",2416.2,2.4162,2.42
"539","HU2885",2372,2.372,2.37
"540","HU2886",2361.5,2.3615,2.36
"541","HU2940",2406,2.406,2.41
"542","HU2941",2397.33333333333,2.39733333333333,2.4
"543","HU2942",2417.75,2.41775,2.42
"544","HU2943",2413,2.413,2.41
"545","HU2944",2407.16666666667,2.40716666666667,2.41
"546","HU2945",2399.4,2.3994,2.4
"547","HU2946",2399.4,2.3994,2.4
"548","HU2947",2399.4,2.3994,2.4
"549","HU2948",2401.33333333333,2.40133333333333,2.4
"550","HU2949",2406,2.406,2.41
"551","HU2950",2412.5,2.4125,2.41
"552","HU2951",2400.83333333333,2.40083333333333,2.4
"553","HU2952",2392.6,2.3926,2.39
"554","HU2953",2390.4,2.3904,2.39
"555","HU2954",2384.83333333333,2.38483333333333,2.38
"556","HU2955",2385.5,2.3855,2.39
"557","HU2956",2387.66666666667,2.38766666666667,2.39
"558","HU2957",2379.83333333333,2.37983333333333,2.38
"559","HU2958",2372.33333333333,2.37233333333333,2.37
"560","HU2959",2379,2.379,2.38
"561","HU2960",2381,2.381,2.38
"562","HU2961",2377,2.377,2.38
"563","HU2962",2375,2.375,2.38
"564","HU2963",2391.75,2.39175,2.39
"565","HU2964",2375,2.375,2.38
"566","HU2965",2365.5,2.3655,2.37
"567","HU2966",2366.5,2.3665,2.37
"568","HU2971",2355.5,2.3555,2.36
"569","HU2972",2356.33333333333,2.35633333333333,2.36
"570","HU2973",2364.75,2.36475,2.36
"571","HU2974",2370,2.37,2.37
"572","HU2975",2369.75,2.36975,2.37
"573","HU2976",2368.4,2.3684,2.37
"574","HU2977",2369.6,2.3696,2.37
"575","HU2978",2380.16666666667,2.38016666666667,2.38
"576","HU2979",2378.5,2.3785,2.38
"577","HU2980",2415.8,2.4158,2.42
"578","HU2981",2476.66666666667,2.47666666666667,2.48
"579","HU2982",2524.33333333333,2.52433333333333,2.52
"580","HU2983",2528.66666666667,2.52866666666667,2.53
"581","HU2984",2481.16666666667,2.48116666666667,2.48
"582","HU2985",2425.5,2.4255,2.43
"583","HU2986",2390.6,2.3906,2.39
"584","HU2987",2365,2.365,2.37
"585","HU3040",2405.75,2.40575,2.41
"586","HU3041",2399.66666666667,2.39966666666667,2.4
"587","HU3042",2400.25,2.40025,2.4
"588","HU3043",2406.75,2.40675,2.41
"589","HU3044",2406.83333333333,2.40683333333333,2.41
"590","HU3045",2404,2.404,2.4
"591","HU3046",2411,2.411,2.41
"592","HU3047",2409.66666666667,2.40966666666667,2.41
"593","HU3048",2403.83333333333,2.40383333333333,2.4
"594","HU3049",2407.125,2.407125,2.41
"595","HU3050",2403,2.403,2.4
"596","HU3051",2392.8,2.3928,2.39
"597","HU3052",2401,2.401,2.4
"598","HU3053",2404.42857142857,2.40442857142857,2.4
"599","HU3054",2395.625,2.395625,2.4
"600","HU3055",2387.16666666667,2.38716666666667,2.39
